5392369,5851385
7921092,3686434
5037461,4948291
9179805,4759504
8397774,4045191
9124091,1963388
9469766,2945224
7338981,3832575
4418124,4788104
6122002,8335193
2886888,6310522
8606736,5337021
3457683,2245637
9966816,8466453
6963351,1937720
2240553,8840149
8626918,8838996
357100,6654501
8021048,2592178
8901443,2583656
2163745,1690019
2092777,7836636
5747471,5910494
3723391,3010157
6670369,4265957
6865741,9694821
2041980,7713554
5062304,5354207
4916418,2438129
4679074,1512226
1530715,7641105
9856478,32950
2689817,5155227
8473749,2135480
1608155,8855380
8472535,9038059
8611449,7209727
8666819,7954683
3346044,3379367
6368926,1488681
5662302,3057645
2728941,4495093
235760,9509088
3360944,46843
9637462,7177347
501859,3619164
7942449,2301801
8038400,2559653
2658350,4932439
3566253,9222669
9251670,5274603
8176697,7739779
7273983,9325394
1217888,7601565
6249702,2910563
221613,3955678
3155977,9852318
2445505,6064313
1934517,57822
208058,2170960
250040,5389694
9857227,8399698
5675140,5588574
5067987,1688196
7993227,562005
5531825,9636410
5980877,7682196
2928184,18884
4813597,6544801
2353498,787869
9721652,1505737
5681946,1157474
2910351,1032671
108531,6431948
814019,4299354
228620,4606153
8358192,2532018
739098,6679437
5358388,5004507
2259238,3430655
3600951,6870441
9381971,2823324
7108547,1608713
8283692,4409014
446684,5239849
2039925,819083
6767538,373596
7981802,3898190
4317390,567506
7994783,6559796
5351050,7638780
3716408,7514065
2544699,3214319
6782179,3579877
8273956,9213906
5090961,401957
8313338,9901724
3764643,1056959
9484376,9071358
1857061,9360535
620989,1902748
1247889,393124
3101628,5004746
2050773,6860775
6777017,919672
1591504,852438
6592165,1951694
2218090,82178
2695507,1197917
8053075,3515342
2290536,1052410
6312734,6759822
513754,3799802
6950011,164193
2678268,1614513
6338412,1966248
190060,9351758
7326668,524224
9314790,305338
6995796,1879403
3959686,7971997
5854236,8691796
2826441,3537303
9870649,9695427
6017271,8147339
4767620,5168443
9204646,2550154
8316956,8665272
2756798,8547852
6442800,9606735
7116618,8069511
4531167,3568459
7222149,7196964
2867431,9497029
573431,1413415
6732290,911326
3406754,4787021
5704606,5887762
9398962,437598
544338,1919043
9569468,8027105
8692508,9770100
8666450,1536592
8235719,8511194
7464131,400261
9097141,3481574
1204151,1666488
7727516,5068631
7060509,1833836
6500800,9936222
2917829,5870933
3469496,1905711
5045371,6891251
5149777,1239002
8296523,4647769
6745394,8791906
4263954,6216086
7712362,9568783
9818253,1125247
9614852,1185938
6347156,2886502
2129169,5159992
4772928,2025850
1082950,4903175
8301952,2843530
965267,6286258
2591763,7417610
8516830,1622273
112175,7503712
5237859,2048806
5513214,6984689
8636724,5753339
9649465,9428558
9288580,2610572
9419967,1665900
1326393,8720283
5427190,2977513
3536158,4299519
9602136,5193726
7275142,1207498
5018510,758349
8450087,9293695
5766241,4569303
3210934,8226479
6357802,514112
7189855,4440307
920311,4501440
7660845,644087
5978787,7532860
9063567,5946080
574518,2585814
1198659,6366738
9530094,4102032
2967697,2331118
476568,1694281
3112561,4449125
747159,647884
3991436,7618581
4869048,7425868
8875423,5946657
5403120,885376
9661657,4777952
1214474,2444498
1520813,6662469
6678808,3374400
8593257,9244022
2908249,330037
8976037,7003803
2154628,9201504
9115406,5888946
9509044,8401242
2693464,4306969
7534127,2460344
8809106,5326119
3059101,4925734
9374791,8456564
7782865,3381026
50206,9574961
5667100,1978187
6296548,2759156
1454756,1248435
2614475,7138330
8498058,2609551
6447478,1444444
8165789,9664435
8106790,9908166
3402997,7358831
3561248,1444318
1679535,1954031
6544878,9660257
8131626,4567226
8983036,8345555
4013845,5858336
2945991,5562080
2889266,559694
1511718,519192
5385364,3807832
5302986,8080880
9866378,2812788
